# No. 95 (30 Sept 1812), frames 0228, 0229, 0233, 0234L (codes_ford1812_no95.txt) aligned group by group with the
# Department's decypherment as printed by Ford 4:389-391 (clear copy on frames 0230-0232).
# python align.py codes_ford1812_no95.txt code_table.tsv
# number<TAB>value<TAB>frame+block (Ford page; note)<TAB>grade: C = fixed by Ford between known neighbours; M = split or digit is a judgement
1401	i	0228-0234 No.95 row 264 (Ford 4:389-391)	C
1549	an	0228-0234 No.95 row 265 (Ford 4:389-391)	C
398	sw	0228-0234 No.95 row 266 (Ford 4:389-391; an-sw-ered (twice))	C
1300	er	0228-0234 No.95 row 267 (Ford 4:389-391)	C
520	ed	0228-0234 No.95 row 268 (Ford 4:389-391)	C
1384	that	0228-0234 No.95 row 269 (Ford 4:389-391)	C
1440	it	0228-0234 No.95 row 270 (Ford 4:389-391)	C
500	was	0228-0234 No.95 row 271 (Ford 4:389-391)	C
1501	ob	0228-0234 No.95 row 272 (Ford 4:389-391; ob-vi-ous-ly; 1501 = a)	M
467	vi	0228-0234 No.95 row 273 (Ford 4:389-391)	C
937	ous	0228-0234 No.95 row 274 (Ford 4:389-391)	C
897	ly	0228-0234 No.95 row 275 (Ford 4:389-391)	C
1424	im	0228-0234 No.95 row 276 (Ford 4:389-391)	C
1157	poss	0228-0234 No.95 row 277 (Ford 4:389-391)	C
586	ble	0228-0234 No.95 row 278 (Ford 4:389-391)	C
981	for	0228-0234 No.95 row 279 (Ford 4:389-391)	C
628	me	0228-0234 No.95 row 280 (Ford 4:389-391)	C
569	to	0228-0234 No.95 row 281 (Ford 4:389-391)	C
1116	pe	0228-0234 No.95 row 283 (Ford 4:389-391)	C
1534	ak	0228-0234 No.95 row 284 (Ford 4:389-391)	C
1592	on	0228-0234 No.95 row 285 (Ford 4:389-391)	C
1399	this	0228-0234 No.95 row 286 (Ford 4:389-391)	C
384	sub	0228-0234 No.95 row 287 (Ford 4:389-391)	C
1411	ject	0228-0234 No.95 row 288 (Ford 4:389-391)	C
674	any	0228-0234 No.95 row 289 (Ford 4:389-391)	C
925	other	0228-0234 No.95 row 290 (Ford 4:389-391)	C
1189	wise	0228-0234 No.95 row 291 (Ford 4:389-391)	C
1383	than	0228-0234 No.95 row 292 (Ford 4:389-391)	C
999	from	0228-0234 No.95 row 293 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 294 (Ford 4:389-391)	C
1208	general	0228-0234 No.95 row 295 (Ford 4:389-391)	C
64	know	0228-0234 No.95 row 296 (Ford 4:389-391)	C
592	ledge	0228-0234 No.95 row 297 (Ford 4:389-391)	C
1176	which	0228-0234 No.95 row 298 (Ford 4:389-391)	C
1401	i	0228-0234 No.95 row 299 (Ford 4:389-391)	C
1244	had	0228-0234 No.95 row 300 (Ford 4:389-391)	C
