sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
3149	M-725	Mohenjo-daro	SEAL:S	Y	R/L	90 740 220 3 741 252 530	530 252 741 3 220 740 90	Bull1:J
3150	M-726	Mohenjo-daro	SEAL:S	Y	R/L	31 850 140 236 220 32 803 2 820	820 2 803 32 220 236 140 850 31	Bull1:T
3151	M-727	Mohenjo-daro	SEAL:S	Y	R/L	740 100 415 2 820	820 2 415 100 740	Bull1:W
3152	M-728	Mohenjo-daro	SEAL:S	Y	R/L	740 575 17 2 820	820 2 17 575 740	Bull1:V
3153	M-729	Mohenjo-daro	SEAL:S	Y	R/L	234 415	415 234	Bull1:I
3154	M-730	Mohenjo-daro	SEAL:S	Y	R/L	740 384 90 351 741 33 272	272 33 741 351 90 384 740	Bull1:J
3155	M-731	Mohenjo-daro	SEAL:S	Y	R/L	151 220	220 151	Bull1:I
3156	M-732	Mohenjo-daro	SEAL:S	Y	R/L	520 400 350 2 817	817 2 350 400 520	Bull1:V
3157	M-733	Mohenjo-daro	SEAL:S	Y	R/L	151 740 760 220 0 892 590 850 32	32 850 590 892 0 220 760 740 151	Bull1:W
3158	M-734	Mohenjo-daro	SEAL:S	Y	R/L	33 33 368 390 590	590 390 368 33 33	Bull1:S
