sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
M77-2301		Mohenjo-daro	M77	Y	M77	585 585 560 745 1 4 405	585 585 560 745 1 4 405	
M77-2303		Mohenjo-daro	M77	Y	M77	233 590 405	233 590 405	
M77-2306		Mohenjo-daro	M77	Y	M77	877 2 101 240 740 565	877 2 101 240 740 565	
M77-2309		Mohenjo-daro	M77	Y	M77	368 220 803 740	368 220 803 740	
M77-2310		Mohenjo-daro	M77	Y	M77	31 ?	31 ?	
M77-2311		Mohenjo-daro	M77	Y	M77	692 60 ?	692 60 ?	
M77-2312		Mohenjo-daro	M77	Y	M77	798 740 590 390 740 0 621	798 740 590 390 740 0 621	
M77-2313		Mohenjo-daro	M77	Y	M77	61 345 832	61 345 832	
M77-2315		Mohenjo-daro	M77	Y	M77	233 405 740	233 405 740	
M77-2318		Mohenjo-daro	M77	Y	M77	220 ? 400	220 ? 400	
M77-2319		Mohenjo-daro	M77	Y	M77	4 354 2 798 415	4 354 2 798 415	
M77-2321		Mohenjo-daro	M77	Y	M77	240 877 740	240 877 740	
M77-2323		Mohenjo-daro	M77	Y	M77	? 65 220	? 65 220	
M77-2327		Mohenjo-daro	M77	Y	M77	861 2 235 240 440 760 740 0 861 2 235 240 440 760 740	861 2 235 240 440 760 740 0 861 2 235 240 440 760 740	
M77-2331		Mohenjo-daro	M77	Y	M77	705 ? 717	705 ? 717	
M77-2334		Mohenjo-daro	M77	Y	M77	560 467 240 632 740	560 467 240 632 740	
M77-2336		Mohenjo-daro	M77	Y	M77	55 844 405 555 527	55 844 405 555 527	
M77-2337		Mohenjo-daro	M77	Y	M77	920 60 742 231 803 760 740	920 60 742 231 803 760 740	
M77-2339		Mohenjo-daro	M77	Y	M77	320 690 0 550 60 690 740	320 690 0 550 60 690 740	
M77-2342		Mohenjo-daro	M77	Y	M77	142 156	142 156	
M77-2350		Mohenjo-daro	M77	Y	M77	745 ? 142 615 615	745 ? 142 615 615	
M77-2351		Mohenjo-daro	M77	Y	M77	? 400	? 400	
M77-2352		Mohenjo-daro	M77	Y	M77	575 741 595 0 315 455 645 0 745	575 741 595 0 315 455 645 0 745	
M77-2356		Mohenjo-daro	M77	Y	M77	550 861 368	550 861 368	
M77-2359		Mohenjo-daro	M77	Y	M77	853 140 415 100 740	853 140 415 100 740	
M77-2362		Mohenjo-daro	M77	Y	M77	518 ? 740	518 ? 740	
M77-2363		Mohenjo-daro	M77	Y	M77	861 2 ? 840 760 740	861 2 ? 840 760 740	
M77-2364		Mohenjo-daro	M77	Y	M77	729 740	729 740	
M77-2367		Mohenjo-daro	M77	Y	M77	820 ? 32 220 233 705 33	820 ? 32 220 233 705 33	
M77-2369		Mohenjo-daro	M77	Y	M77	255 435 690 740 ? 354	255 435 690 740 ? 354	
M77-2372		Mohenjo-daro	M77	Y	M77	503 615 156	503 615 156	
M77-2373		Mohenjo-daro	M77	Y	M77	892 368 2 415 220 520 0 621	892 368 2 415 220 520 0 621	
M77-2377		Mohenjo-daro	M77	Y	M77	550 0 405	550 0 405	
M77-2385		Mohenjo-daro	M77	Y	M77	853 233 415	853 233 415	
M77-2388		Mohenjo-daro	M77	Y	M77	555 527 845 405	555 527 845 405	
M77-2389		Mohenjo-daro	M77	Y	M77	97 151	97 151	
M77-2391		Mohenjo-daro	M77	Y	M77	585 2 705 33 520	585 2 705 33 520	
M77-2392		Mohenjo-daro	M77	Y	M77	? 705 33 ? 388 740	? 705 33 ? 388 740	
M77-2394		Mohenjo-daro	M77	Y	M77	31 156 0 31 156	31 156 0 31 156	
